delta,paired_n,EKF_mean,EKF_median,EKF_std,EKF_ci_lower,EKF_ci_upper,EKF_failures,SR-EKF_mean,SR-EKF_median,SR-EKF_std,SR-EKF_ci_lower,SR-EKF_ci_upper,SR-EKF_failures,IDEKF_mean,IDEKF_median,IDEKF_std,IDEKF_ci_lower,IDEKF_ci_upper,IDEKF_failures,mean_SR_minus_IDEKF,median_SR_minus_IDEKF,difference_ci_lower,difference_ci_upper,mean_percent_improvement,median_percent_improvement,IDEKF_win_rate,IDEKF_wins,IDEKF_losses,ties,paired_cohen_dz,paired_t_statistic,paired_t_p_one_sided,wilcoxon_statistic,wilcoxon_p_one_sided,permutation_statistic,permutation_p_one_sided,binomial_p_one_sided,paired_t_p_one_sided_holm,wilcoxon_p_one_sided_holm,permutation_p_one_sided_holm,binomial_p_one_sided_holm
0.01,100,2.77727306973,1.09693048663,6.91367230624,1.64985749907,4.32073305218,0,0.335647297838,0.306421380505,0.173099684884,0.309969470557,0.37511321949,0,1.81987589586,0.584439775542,7.46175956904,0.890428591885,3.46018253954,0,-1.48422859802,-0.247144013523,-3.12731031643,-0.548411670932,-499.983927309,-78.218433528,0.16,16,84,0,-0.198692065136,-1.98692065136,0.975152686234,513,0.999999999998,-1.48422859802,1,1,1,1,1,1
0.02,100,18.4767155966,2.12546723219,87.3944657377,4.35441628307,38.4304228629,0,7.38103423955,0.846695612851,51.0102802456,1.09222221876,18.8702753098,0,36.9215450178,1.38849991655,339.438600729,1.51941730699,106.21599642,0,-29.5405107782,-0.403366030326,-103.83261714,13.3538996986,-3647.11843253,-57.1861203775,0.34,34,66,0,-0.0858925344263,-0.858925344263,0.803771677032,1530,0.999688196114,-29.5405107782,0.656153438466,0.999563140082,1,1,1,1
0.05,100,3.59918067173,1.66575583283,14.1861498237,1.9324891575,6.64402490129,0,3.1415220613,1.22671242052,14.530900083,1.33624369167,6.34366898848,0,6.5717126402,1.97101211748,38.3984696953,2.19116647482,14.8078427921,0,-3.4301905789,-0.773167858346,-8.96438848208,-0.202038436947,-112.554974901,-62.2884455235,0.17,17,83,0,-0.138912229838,-1.38912229838,0.916043825897,606,0.999999999979,-3.4301905789,0.988230117699,0.999999999999,1,1,1,1
0.1,100,2.47635869077,1.90341794806,2.05051479425,2.1110012379,2.9188436881,0,2.14134877319,1.71983755467,1.50285210534,1.8737085199,2.46084719298,0,2.99656377879,2.58256955712,2.17652659445,2.61091990921,3.44857151888,0,-0.855215005598,-0.661033245559,-1.39089181288,-0.37725745886,-77.1527475487,-44.4813111891,0.27,27,73,0,-0.330464394363,-3.30464394363,0.999337560811,1053,0.999999791703,-0.855215005598,0.9997200028,0.999999166319,1,1,1,1
0.15,100,3.46140603941,2.59629793862,6.97443544706,2.56341434494,4.96948570692,0,2.84602283055,2.45407800457,2.31289948856,2.45897100933,3.35460357836,0,2.7367184804,2.60946350443,1.19822021808,2.51682351573,2.97706392757,0,0.109304350145,-0.0161274904341,-0.281077448126,0.576383856034,-12.6409113354,-0.556080101285,0.49,49,51,0,0.0501447767679,0.501447767679,0.308584644769,2418,0.643526382593,0.109304350145,0.316626833732,0.617823282799,1,1,1,1
0.2,100,3.97928400376,2.79041915796,4.91701193484,3.1709575888,5.10419128885,0,3.27231001261,2.54617413735,3.43948555184,2.7372890712,4.03838919905,0,3.69452847295,3.35782985108,1.90647359069,3.34617380011,4.09753724141,0,-0.422218460339,-0.581382790862,-1.05162329267,0.414894282032,-37.3238478671,-24.024923982,0.31,31,69,0,-0.112080022887,-1.12080022887,0.867457818119,1280,0.999990685286,-0.422218460339,0.849921500785,0.999960749302,1,1,1,1
0.3,100,3.24437437935,3.06684258022,0.980081333475,3.05962310344,3.44822648812,0,3.50513303683,3.23348179997,3.70349453529,3.02979680462,4.32026332819,0,3.66840073391,3.05177427372,3.30825307377,3.10814998662,4.3745175054,0,-0.163267697079,0.0936491653254,-1.08752942646,0.880382844053,-21.6004544849,2.76565109952,0.57,57,43,0,-0.0326932772973,-0.326932772973,0.627795519273,2982,0.0580548127867,-0.163267697079,0.619813801862,0.0966739522478,1,0.580548127867,1,0.966739522478
0.4,100,23.95574245,4.2741503571,181.315917884,5.04475951659,60.8565050947,0,4.23907795313,3.77035829505,2.00901936543,3.86638791104,4.64951816197,0,5.08591622312,4.1924735953,3.15946173472,4.50225133559,5.73463593975,0,-0.846838269988,-0.515250134946,-1.42355430991,-0.289317067985,-30.2624833917,-15.1585461512,0.35,35,65,0,-0.291450685828,-2.91450685828,0.997797399101,1616,0.99911229538,-0.846838269988,0.9981700183,0.999105034804,1,1,1,1
0.5,100,4.37063091424,3.52628031217,5.66753722752,3.48666760466,5.6389926361,0,3.41624704261,3.47293891406,1.02807841548,3.21861399756,3.6209980424,0,3.84052281621,3.29561407807,3.47982750996,3.3049989182,4.63552152233,0,-0.424275773595,0.0336378773132,-1.2400373039,0.118168522786,-22.0394338049,0.942582250569,0.54,54,46,0,-0.119579163763,-1.19579163763,0.882682902204,2602,0.395600638275,-0.424275773595,0.868581314187,0.242059206804,1,1,1,1
0.6,100,4.03632469138,3.57815585724,2.04853760372,3.66262332987,4.46000411895,0,3.68461852224,3.52919905695,1.31300802275,3.44777444928,3.95500125425,0,3.7633624418,3.52090611539,2.69438111544,3.32296894233,4.35473920389,0,-0.078743919556,0.0398614706043,-0.659524303685,0.347566852376,-6.59168392611,0.827722571019,0.56,56,44,0,-0.0300229943162,-0.300229943162,0.617684354483,2862,0.123286090983,-0.078743919556,0.556074439256,0.135626512037,1,1,1,1
0.7,100,4.0390213673,3.14608406162,3.29499514417,3.47187627931,4.73112821693,0,3.63024024253,3.05724481662,1.77598606933,3.30699798108,3.99882694227,0,3.08979219348,2.71272944074,1.68165563781,2.76287558666,3.42273724166,0,0.540448049049,0.137335918452,0.3229428464,0.777966030039,14.1196717489,4.73762732888,0.74,74,26,0,0.466091770348,4.66091770348,4.91764980929e-06,3907,1.00824360448e-06,0.540448049049,9.999900001e-06,8.33681324725e-07,6.884709733e-05,1.41154104627e-05,0.000139998600014,1.16715385462e-05
0.8,100,9.5385717657,6.89972934859,9.27943460656,7.84792642861,11.4376653332,0,7.25613242548,5.80984886288,5.07970377573,6.31546948996,8.27688193212,0,6.6863130072,6.14887525316,4.48404812501,5.8805693906,7.64590988734,0,0.569819418271,0.612210947294,-0.339207408387,1.3435396597,-4.48391293174,10.6294145302,0.7,70,30,0,0.130678900362,1.30678900362,0.0971559146159,3598,0.000112425995598,0.569819418271,0.10074899251,3.9250698228e-05,1,0.00146153794277,1,0.000510259076964
0.9,100,5.88627142501,4.2646213522,6.27513109498,4.82089031768,7.27602090894,0,5.3854443988,4.21400991187,5.48328604151,4.51182774648,6.62151748673,0,4.85076556365,4.14224795453,3.98822795696,4.20950141056,5.73796197853,0,0.53467883515,0.209446546276,0.055744003239,1.07288419634,0.574730477757,4.55766661324,0.66,66,34,0,0.205297087107,2.05297087107,0.0213565430642,3367,0.00189537285664,0.53467883515,0.0179198208018,0.000894965195743,0.277635059835,0.0208491014231,0.232957670423,0.00984461715318
1,100,5.42404477724,4.38086961932,4.19029740694,4.69833758074,6.32046384861,0,5.09722074215,4.32525240795,3.95879245065,4.41053106908,5.94815594195,0,4.63679587313,4.31027243434,2.67292579749,4.15252598228,5.18793285107,0,0.460424869022,0.157765903608,0.0244190602507,0.91273929678,1.13833062176,3.32345880463,0.68,68,32,0,0.198805719481,1.98805719481,0.0247833670853,3381,0.00162416061088,0.460424869022,0.0230897691023,0.000204388583713,0.297400405024,0.0194899273306,0.277077229228,0.00245266300456
